,League,Date,Home,Away,Goals_H_FT,Goals_A_FT,Result_FT,Odds_H,Odds_D,Odds_A,Pontos_H,Pontos_A,Total_Goals_FT,Over05_FT,Over15_FT,Over25_FT,Under25_FT,BTTS,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_BTTS_Home,Porc_BTTS_Away,Media_Pontos_H,Media_Pontos_A,Media_Gols_Feitos_Home,Media_Gols_Sofridos_Home,Media_Gols_Feitos_Away,Media_Gols_Sofridos_Away
70,Inglaterra 1,01/10/2022,Fulham,Newcastle,1,4,A,3.0,3.4,2.37,0,3,5,1,1,1,0,1,100.0,75.0,100.0,75.0,100.0,50.0,100.0,75.0,1.75,1.25,2.0,2.25,1.5,1.0
71,Inglaterra 1,01/10/2022,Liverpool,Brighton,3,3,D,1.33,5.25,8.5,1,1,6,1,1,1,0,1,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,2.0,1.75,3.75,1.25,2.0,1.5
72,Inglaterra 1,01/10/2022,Southampton,Everton,1,2,A,2.15,3.4,3.4,0,3,3,1,1,1,0,1,100.0,100.0,75.0,100.0,75.0,50.0,75.0,100.0,1.0,1.25,1.25,1.5,1.25,1.25
73,Inglaterra 1,01/10/2022,West Ham,Wolves,2,0,H,1.95,3.5,4.2,3,0,2,1,1,0,1,0,100.0,75.0,100.0,50.0,0.0,25.0,25.0,25.0,1.0,0.25,0.75,1.25,0.25,1.25
74,Inglaterra 1,02/10/2022,Man City,Man United,6,3,H,1.33,5.75,7.5,3,0,9,1,1,1,0,1,100.0,100.0,100.0,50.0,100.0,50.0,50.0,25.0,3.0,1.5,5.0,1.25,1.25,2.5
75,Inglaterra 1,02/10/2022,Leeds,Aston Villa,0,0,D,2.35,3.4,3.0,1,1,0,0,0,0,1,0,75.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,2.0,0.25,1.5,0.5,0.5,1.75
76,Inglaterra 1,03/10/2022,Leicester,Nott'm Forest,4,0,H,1.75,4.0,4.33,3,0,4,1,1,1,0,0,100.0,100.0,75.0,100.0,75.0,50.0,50.0,25.0,1.0,0.25,1.75,1.25,0.25,3.25
77,Inglaterra 1,08/10/2022,Bournemouth,Leicester,2,1,H,3.6,3.4,2.05,3,0,3,1,1,1,0,1,60.0,100.0,60.0,100.0,40.0,100.0,20.0,100.0,1.6,0.0,0.8,0.8,1.6,3.8
78,Inglaterra 1,08/10/2022,Chelsea,Wolves,3,0,H,1.4,4.5,8.0,3,0,3,1,1,1,0,0,100.0,80.0,100.0,60.0,100.0,40.0,75.0,20.0,2.5,0.2,2.25,1.0,0.2,1.6
79,Inglaterra 1,08/10/2022,Man City,Southampton,4,0,H,1.11,10.0,17.0,3,0,4,1,1,1,0,0,100.0,100.0,100.0,60.0,100.0,60.0,40.0,40.0,3.0,0.6,4.8,1.0,0.6,2.2
